X,Y,UCL_CODE11,UCL_NAME11,SSR_CODE11,SSR_NAME11,SOS_CODE11,SOS_NAME11,STE_CODE11,STE_NAME11,AREA_SQKM,SA2_MAIN16,SA2_NAME16,Elect_div
150.978451538388,-33.8372305035926,101001,Sydney,101,1 million or more,10,Major Urban,1,New South Wales,2036.5484036000,125031485,Merrylands - Holroyd,McMahon
149.220220263767,-35.3664261806426,102001,Canberra - Queanbeyan (Queanbeyan Part),102,"250,000 to 999,999",10,Major Urban,1,New South Wales,28.7922015880,101021008,Karabar,Eden-Monaro
151.429480161036,-33.3586426542089,102002,Central Coast,102,"250,000 to 999,999",10,Major Urban,1,New South Wales,400.8032963200,102021047,Chittaway Bay - Tumbi Umbi,Dobell
153.530010717181,-28.2232954518564,102003,Gold Coast - Tweed Heads (Tweed Heads Part),102,"250,000 to 999,999",10,Major Urban,1,New South Wales,68.1291187300,112031550,Banora Point,Richmond
151.677483982247,-32.951884009287,102004,Newcastle,102,"250,000 to 999,999",10,Major Urban,1,New South Wales,292.3691683000,111011209,Glendale - Cardiff - Hillsborough,Shortland
150.847738893887,-34.4686224533662,103001,Wollongong,103,"100,000 to 249,999",10,Major Urban,1,New South Wales,219.1730102400,107011545,Berkeley - Lake Heights - Cringila,Whitlam
146.94389363118,-36.059242560523,111001,Albury - Wodonga (Albury Part),111,"50,000 to 99,999",11,Other Urban,1,New South Wales,64.0854959590,109011173,Albury - North,Farrer
151.594169653911,-32.7431912565011,111002,Maitland (NSW),111,"50,000 to 99,999",11,Other Urban,1,New South Wales,130.7373303800,106021115,Maitland - East,Paterson
149.582475510593,-33.4158036996521,112001,Bathurst,112,"20,000 to 49,999",11,Other Urban,1,New South Wales,53.0907716070,103011058,Bathurst,Calare
150.380052517977,-33.7208739603196,112002,Blue Mountains,112,"20,000 to 49,999",11,Other Urban,1,New South Wales,79.1753099350,124011455,Wentworth Falls,Macquarie
151.342218688823,-32.8325889636782,112003,Cessnock,112,"20,000 to 49,999",11,Other Urban,1,New South Wales,27.1888350410,106011108,Cessnock,Hunter
153.095735628337,-30.312308701533,112004,Coffs Harbour,112,"20,000 to 49,999",11,Other Urban,1,New South Wales,77.9625799610,104021085,Coffs Harbour - South,Cowper
148.60935238081,-32.2504360838593,112005,Dubbo,112,"20,000 to 49,999",11,Other Urban,1,New South Wales,97.3426801600,105031101,Dubbo - South,Parkes
